EQUIPAMENTO,IP/IN,FP,POT(W),FD,Hora/d,3F?,NT?,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,CAT
ABAJUR (45W INCAND.),1.0,1.0,45,0.9,5.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
AIR FRYER,6.0,0.8,1500,0.8,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
ALARME RESIDENCIAL,1.0,0.95,4,0.7,24.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,CTI
APARELHO DE SOM,3.0,0.95,80,0.7,2.0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.08,0.08,0.07,0.05,0.03,0.03,ELELT
AQUECEDOR AGUA (BOILER) ATÉ 80 L,1.0,1.0,1500,1.0,1.5,0,1,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.1,0.06,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.13,0.13,0.1,0.08,0.0,AQC
AQUECEDOR AGUA (BOILER) DE 100 A 150 L,1.0,1.0,2500,1.0,1.5,0,1,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.1,0.06,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.13,0.13,0.1,0.08,0.0,AQC
AQUECEDOR AGUA (BOILER) DE 200 A 400 L,1.0,1.0,4500,1.0,1.5,1,1,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.1,0.06,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.13,0.13,0.1,0.08,0.0,AQC
AQUECEDOR DE AMBIENTE 2000W,1.0,1.0,2000,1.0,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.1,0.06,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.13,0.13,0.1,0.08,0.0,AQC
AR CONDICIONADO - BTU 7500,6.0,0.75,800,1.0,6.0,0,1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.12,0.12,0.1,0.1,0.09,0.06,0.04,0.04,0.05,0.05,0.06,ARC
AR CONDICIONADO - BTU 9000,6.0,0.75,1000,1.0,6.0,0,1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.12,0.12,0.1,0.1,0.09,0.06,0.04,0.04,0.05,0.05,0.06,ARC
